Class,Status,Count
Fishes,Extinct,0
Frogs,Extinct,4
Reptiles,Extinct,1
Birds,Extinct,22
Mammals,Extinct,39
Other,Extinct,1
Fishes,CriticallyEndangered,28
Frogs,CriticallyEndangered,18
Reptiles,CriticallyEndangered,27
Birds,CriticallyEndangered,18
Mammals,CriticallyEndangered,9
Other,CriticallyEndangered,47
Fishes,Endangered,31
Frogs,Endangered,15
Reptiles,Endangered,40
Birds,Endangered,69
Mammals,Endangered,47
Other,Endangered,48
Fishes,Vulnerable,22
Frogs,Vulnerable,16
Reptiles,Vulnerable,34
Birds,Vulnerable,77
Mammals,Vulnerable,57
Other,Vulnerable,16
